nume,decor,pret_eur_fara_tva
MANER CERTUS,INOX,51
MANER CERTUS,AURIU ANTICHIZAT,51
MANER CERTUS,NEGRU,51
SET MANERE SLIM CERTUS (PT BARA TRAGATOARE),INOX,41
SET MANERE SLIM CERTUS (PT BARA TRAGATOARE),AURIU ANTICHIZAT,41
SET MANERE SLIM CERTUS (PT BARA TRAGATOARE),NEGRU,41
CONTRAPLACA ZI/NOAPTE,,127
